question_number;id_original;area;dificuldade;referencia;gabarito
471;2012-06_12;direito_administrativo;Nível 1 - Estagiário;Art. 7º, inciso I, do Código de Organização Judiciária (Lei nº 13.105/2015 - Novo CPC), que garante o direito do advogado de acesso ao juiz e ao procedimento judicial, sem necessidade de intermediários ou triagens prévias que limitem esse direito.;C
472;2012-06_13;direito_constitucional;Nível 2 - Analista;Protocolo Facultativo da Convenção sobre a Eliminação de Todas as Formas de Discriminação contra a Mulher;B
473;2012-06_14;direito_constitucional;Nível 1 - Estagiário;Art. 2º do Pacto Internacional dos Direitos Econômicos, Sociais e Culturais e do Pacto Internacional dos Direitos Civis e Políticos, que preveem o envio de relatórios pelos Estados-partes;A
474;2012-06_15;direito_constitucional;Nível 3 - Juiz de Direito;"Art. 5º, inciso III, da Constituição Federal; Súmula Vinculante nº 11";C
475;2012-06_16;direito_constitucional;Nível 3 - Juiz de Direito;Art. 125, § 2º, da Constituição Federal;A
476;2012-06_17;direito_constitucional;Nível 4 - Ministro (STF/STJ);Súmula Vinculante nº 3;D
477;2012-06_18;direito_constitucional;Nível 4 - Ministro (STF/STJ);Art. 103/Lei nº 11.417/2006 (Lei das Súmulas Vinculantes);A
478;2012-06_19;direito_penal;Nível 1 - Estagiário;Art. 4º da Lei nº 6.815/1980 (Lei de Extradição) e Súmula 313 do STF;C
479;2012-06_20;direito_constitucional;Nível 1 - Estagiário;"Art. 15, inciso III, alínea c, da Constituição Federal; Art. 1º da Lei nº 8.429/1992 (Lei de Improbidade Administrativa)";C
480;2012-06_21;direito_constitucional;Nível 1 - Estagiário;Art. 5º, XI, da Constituição Federal;A
481;2012-06_22;direito_constitucional;Nível 1 - Estagiário;Art. 29, § 4º da Constituição Federal;B
482;2012-06_23;direito_internacional_privado;Nível 2 - Analista;Art. 9º da Lei de Introdução às Normas do Direito Brasileiro (LINDB) e Arts. 9º e 10 do Código de Processo Civil (CPC);B
483;2012-06_24;direito_civil;Nível 1 - Estagiário;Art. 225, § 1º do Código Civil;Art. 226, § 1º do Código Civil;C
484;2012-06_25;direito_do_trabalho;Nível 3 - Juiz de Direito;Art. 122 da Lei nº 8.069/1990 (ECA);D
485;2012-06_26;direito_de_maior_infantil_e_da_adocao;Nível 4 - Ministro (STF/STJ);"Súmula Vinculante nº 13; Lei nº 13.509/2017 (Lei da Adoção); Código Civil, arts. 1.629 a 1.633";D
486;2012-06_27;direito_administrativo;Nível 2 - Analista;Art. 42 da Lei nº 8.112/1993;A
487;2012-06_28;direito_desportivo;Nível 4 - Ministro (STF/STJ);Não há uma norma específica que trate exatamente do procedimento de revisão de decisões da Justiça Desportiva, mas a questão envolve princípios constitucionais de acesso à justiça e o entendimento consolidado de que o Poder Judiciário pode rever decisões de entidades administrativas, desde que haja esgotamento da instância administrativa, conforme o entendimento do STF e do STJ.;D
488;2012-06_29;direito_constitucional;Nível 1 - Estagiário;Art. 37, inciso XI, da Constituição Federal;EC 41/2003;A
489;2012-06_30;direito_administrativo;Nível 2 - Analista;Art. 3º, Lei nº 11.107/2005 (Lei dos Consórcios Públicos);B
490;2012-06_31;direito_civil;Nível 2 - Analista;"Art. 37, § 6º da Constituição Federal; Súmula 329 do STJ";B
491;2012-06_32;direito_administrativo;Nível 1 - Estagiário;Art. 37 da Constituição Federal e Lei nº 9.784/1999, que regula o processo administrativo no âmbito da administração pública;B
492;2012-06_33;direito_civil;Nível 3 - Juiz de Direito;Art. 74 do Código Civil;C
493;2012-06_34;direito_civil;Nível 1 - Estagiário;Art. 104, inciso II, do Código Civil;D
494;2012-06_35;direito_civil;Nível 3 - Juiz de Direito;Art. 1.219 do Código Civil;A
495;2012-06_36;direito_civil;Nível 3 - Juiz de Direito;Art. 927 do Código Civil;D
496;2012-06_37;direito_civil;Nível 3 - Juiz de Direito;Art. 1.829 do Código Civil;C
497;2012-06_38;direito_civil;Nível 3 - Juiz de Direito;Art. 538 do Código Civil;A
498;2012-06_39;direito_civil;Nível 3 - Juiz de Direito;Art. 1.517 do Código Civil;C
499;2012-06_40;direito_processual_civil;Nível 2 - Analista;Art. 236 do Código de Processo Civil;A
500;2012-06_41;direito_civil;Nível 3 - Juiz de Direito;Art. 2º do Código Civil;C
501;2012-06_42;direito_processual_civil;Nível 2 - Analista;Art. 134 do Código de Processo Civil;A
502;2012-06_43;direito_processual_civil;Nível 1 - Estagiário;Art. 85, § 2º do Código de Processo Civil;A
503;2012-06_44;direito_civil;Nível 1 - Estagiário;Art. 319 do Código de Processo Civil;B
504;2012-06_45;direito_processual_civil;Nível 2 - Analista;Art. 232 do Código de Processo Civil;C
505;2012-06_46;direito_consitucional;Nível 2 - Analista;Art. 421 do Código Civil e Súmula 543 do STJ;C
506;2012-06_47;direito_consititucional;Nível 2 - Analista;Art. 26 do Código de Defesa do Consumidor;B
507;2012-06_48;direito_civil;Nível 2 - Analista;Art. 44 do Código Civil;C
508;2012-06_49;direito_industrial;Nível 1 - Estagiário;Art. 45 da Lei nº 9.279/1996 (Lei de Propriedade Industrial);D
509;2012-06_50;direito_civil;Nível 3 - Juiz de Direito;Art. 55 da Lei Uniforme de Letras de Câmbio e Nota Promissória (Lei nº 7.357/1985);D
510;2012-06_51;direito_trabalhista;Nível 3 - Juiz de Direito;Art. 6º da Lei 11.101/2005;D
511;2012-06_52;direito_civil;Nível 1 - Estagiário;Lei nº 6.404/1976, Art. 54 e seguintes;A
512;2012-06_53;direito_tributario;Nível 2 - Analista;Art. 3º, § 2º, da Lei nº 8.009/1990;D
513;2012-06_54;direito_tributario;Nível 4 - Ministro (STF/STJ);Art. 151, inciso III, do Código Tributário Nacional (CTN);D
514;2012-06_55;direito_tributario;Nível 4 - Ministro (STF/STJ);"Art. 18, inciso I, da Constituição Federal; Súmula Vinculante nº 10";D
515;2012-06_56;direito_tributario;Nível 2 - Analista;Art. 150, § 4º do Código Tributário Nacional (CTN) e Súmula 473 do STJ;B
516;2012-06_57;direito_administrativo;Nível 3 - Juiz de Direito;Lei nº 9.605/1998, Arts. 17 a 22;Decreto nº 4.340/2002, Arts. 8 a 15;D
517;2012-06_58;direito_ambiental;Nível 3 - Juiz de Direito;Art. 2º, § 2º, da Lei 9.985/2000;B
518;2012-06_59;direito_penal;Nível 1 - Estagiário;Art. 139 do Código Penal (difamação) e Art. 138 do Código Penal (calúnia);D
519;2012-06_60;direito_penal;Nível 4 - Ministro (STF/STJ);Súmula 343 do STJ: 'A tentativa é punível, e o erro na execução, se não exclui o crime, não o transforma em tentativa, mas em homicídio consumado, se o resultado se consuma.';D
520;2012-06_61;direito_penal;Nível 2 - Analista;Art. 69 do Código Penal (concurso de crimes) e Art. 81 do Código Penal (concurso de penas);B
521;2012-06_62;direito_penal;Nível 3 - Juiz de Direito;Art. 146 do Código Penal;C
522;2012-06_63;direito_penal;Nível 2 - Analista;Art. 44 da Lei nº 9.099/1995;A
523;2012-06_64;direito_penal;Nível 3 - Juiz de Direito;Art. 109, incisos III e V, do Código Penal;C
524;2012-06_65;direito_penal;Nível 3 - Juiz de Direito;Art. 24 do Código de Processo Penal;C
525;2012-06_66;direito_penal;Nível 3 - Juiz de Direito;Art. 530 do Código de Processo Penal;B
526;2012-06_67;direito_constitucional;Nível 4 - Ministro (STF/STJ);"Art. 102, I, 'a' da Constituição Federal; Súmula Vinculante nº 13";C
527;2012-06_68;direito_penal;Nível 2 - Analista;Art. 399 do Código de Processo Penal;C
528;2012-06_69;direito_penal;Nível 1 - Estagiário;Art. 600 do Código de Processo Penal;A
529;2012-06_70;direito_trabalhista;Nível 2 - Analista;Art. 487, § 1º da CLT;A
530;2012-06_71;direito_trabalhista;Nível 1 - Estagiário;"Art. 7º, inciso VI, da Constituição Federal; Súmula 51 do TST; Lei nº 13.467/2017 (Reforma Trabalhista), art. 8º, inciso III";D
